Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx,MoveTime_ms
19-09-2026,928084.488153458,593.71636097293,547.929868465224,8,3,41,1,NaN,366.672992706299
19-09-2026,928093.759059906,574.253852961821,549.772331919309,8,3,41,1,NaN,375.943899154663
19-09-2026,928101.143121719,574.253852961821,553.414410840175,8,3,41,1,NaN,383.327960968018
19-09-2026,928110.330104828,567.779045991394,564.340647602771,8,3,41,1,NaN,392.514944076538
19-09-2026,928117.875099182,561.304239020966,569.825189977721,8,3,41,1,NaN,400.059938430786
19-09-2026,928127.239227295,541.841731009857,580.751426740318,8,3,41,1,NaN,409.424066543579
19-09-2026,928134.509086609,538.604327524644,582.593890194403,8,3,41,1,NaN,416.693925857544
19-09-2026,928143.740177155,525.654713583789,582.593890194403,8,3,41,1,NaN,425.925016403198
19-09-2026,928151.143074036,525.654713583789,582.593890194403,8,3,41,1,NaN,433.327913284302
19-09-2026,928160.377025604,525.654713583789,584.414929654836,8,3,41,1,NaN,442.561864852905
19-09-2026,928167.813062668,525.654713583789,584.414929654836,8,3,41,1,NaN,449.997901916504
19-09-2026,928177.099227905,525.654713583789,584.414929654836,8,3,41,1,NaN,459.284067153931
19-09-2026,928184.510231018,525.654713583789,584.414929654836,8,3,41,1,NaN,466.695070266724
19-09-2026,928193.67814064,525.654713583789,584.414929654836,8,3,41,1,NaN,475.862979888916
19-09-2026,928201.181173325,525.654713583789,584.414929654836,8,3,41,1,NaN,483.366012573242
19-09-2026,928210.636138916,525.654713583789,584.414929654836,8,3,41,1,NaN,492.820978164673
19-09-2026,928217.73314476,525.654713583789,584.414929654836,8,3,41,1,NaN,499.917984008789
19-09-2026,928227.080106735,525.654713583789,586.235969115268,8,3,41,1,NaN,509.264945983887
19-09-2026,928235.022068024,525.654713583789,586.235969115268,8,3,41,1,NaN,517.206907272339
19-09-2026,928244.299173355,525.654713583789,588.057008575701,8,3,41,1,NaN,526.48401260376
19-09-2026,928251.318216324,528.892117069002,589.878048036134,8,3,41,1,NaN,533.50305557251
19-09-2026,928260.490179062,532.129520554216,591.699087496567,8,3,41,1,NaN,542.675018310547
19-09-2026,928267.822027206,535.36692403943,593.520126956999,8,3,41,1,NaN,550.006866455078
19-09-2026,928277.124166489,538.604327524644,595.341166417432,8,3,41,1,NaN,559.309005737305
19-09-2026,928284.526109695,541.841731009857,597.162205877865,8,3,41,1,NaN,566.710948944092
19-09-2026,928293.711185455,545.079134495071,599.00466933195,8,3,41,1,NaN,575.896024703979
19-09-2026,928301.187038422,545.079134495071,599.00466933195,8,3,41,1,NaN,583.371877670288
19-09-2026,928310.445070267,551.553941465499,602.646748252815,8,3,41,1,NaN,592.629909515381
19-09-2026,928317.855119705,558.066835535752,606.288827173681,8,3,41,1,NaN,600.039958953857
19-09-2026,928327.213048935,567.779045991394,606.288827173681,8,3,41,1,NaN,609.397888183594
19-09-2026,928334.488153458,587.241554002503,609.930906094546,8,3,41,1,NaN,616.672992706299
19-09-2026,928343.767166138,619.653675954466,615.415448469497,8,3,41,1,NaN,625.952005386353
19-09-2026,928351.138114929,619.653675954466,615.415448469497,8,3,41,1,NaN,633.322954177856
19-09-2026,928360.306024551,652.06579790643,615.415448469497,8,3,41,1,NaN,642.490863800049
19-09-2026,928367.814064026,661.778008362072,615.415448469497,8,3,41,1,NaN,649.998903274536
19-09-2026,928377.193212509,687.715323343608,615.415448469497,8,3,41,1,NaN,659.378051757812
19-09-2026,933550.971031189,960,515.10831019013,6,3,42,1,NaN,0
19-09-2026,933560.140132904,960,515.10831019013,6,3,42,1,NaN,9.16910171508789
19-09-2026,933567.547082901,960,515.10831019013,6,3,42,1,NaN,16.5760517120361
19-09-2026,933576.860189438,960,515.10831019013,6,3,42,1,NaN,25.8891582489014
19-09-2026,933584.217071533,960,515.10831019013,6,3,42,1,NaN,33.2460403442383
19-09-2026,933593.563079834,960,515.10831019013,6,3,42,1,NaN,42.5920486450195
19-09-2026,933600.844144821,960,515.10831019013,6,3,42,1,NaN,49.8731136322021
19-09-2026,933610.045194626,960,515.10831019013,6,3,42,1,NaN,59.0741634368896
